item_id,original_title,release_year,genres,rating,rating_num,s_hat_5,prior_m,C
tt1517268,Barbie,2023,Comedy/Adventure,3.7,46386030.0,3.7,3.58,80
tt1517451,A Star Is Born,2018,Music/Romance/Drama,3.6,9589260.0,3.6,3.58,80
tt15239678,Dune: Part Two,2024,Adventure/Science Fiction,4.4,26557040.0,4.4,3.58,80
tt15255288,Murder Mystery 2,2023,Mystery/Comedy/Crime,2.5,2511040.0,2.5,3.58,80
tt15255876,Emily the Criminal,2022,Thriller/Crime/Drama,3.3,1657840.0,3.3,3.58,80
tt15268244,Joy Ride,2023,Comedy,3.2,1570120.0,3.2,3.58,80
tt15301048,Argentina 1985,2022,History/Crime/Drama,4.0,1481130.0,4.0,3.58,80
tt15314262,The Beekeeper,2024,Action/Thriller/Crime,2.7,2748390.0,2.7,3.58,80
tt15318872,Werewolf by Night,2022,Horror/Action/Fantasy,,0.0,3.58,3.58,80
tt15325794,Fall,2022,Thriller,2.6,3890110.0,2.6,3.58,80
tt15340724,20세기 소녀,2022,Drama/Romance,4.0,1835730.0,4.0,3.58,80
tt1535108,Elysium,2013,Science Fiction/Thriller/Drama/Action,2.9,2277730.0,2.9,3.58,80
tt1535109,Captain Phillips,2013,Action/Drama/Thriller,3.8,3406960.0,3.8,3.58,80
tt1536537,What Happened to Monday,2017,Science Fiction/Thriller/Action/Mystery,3.1,1969950.0,3.1,3.58,80
tt15398776,Oppenheimer,2023,Drama/History,4.2,34238900.0,4.2,3.58,80
tt1542344,127 Hours,2010,Adventure/Thriller/Drama,3.5,4040430.0,3.5,3.58,80
tt15435876,The Penguin,2024,Drama/Crime,4.5,2108270.0,4.5,3.58,80
tt15474916,Smile,2022,Horror/Mystery,2.8,11908140.0,2.8,3.58,80
tt15552142,Caddo Lake,2024,Mystery/Thriller/Science Fiction/Drama,3.4,1426350.0,3.4,3.58,80
tt15574270,I Saw the TV Glow,2024,Drama/Horror,3.5,6656090.0,3.5,3.58,80
tt1560220,Zombieland: Double Tap,2019,Horror/Action/Comedy,3.0,4387950.0,3.0,3.58,80
tt1563738,One Day,2011,Drama/Romance,3.5,3418350.0,3.5,3.58,80
tt1564367,Just Go with It,2011,Comedy/Romance,3.2,4422210.0,3.2,3.58,80
tt15671028,No Hard Feelings,2023,Comedy/Romance,3.0,12018120.0,3.0,3.58,80
tt1568921,借りぐらしのアリエッティ,2010,Animation/Fantasy/Family,3.8,3976290.0,3.8,3.58,80
tt1570728,"Crazy, Stupid, Love.",2011,Comedy/Romance/Drama,3.7,11485500.0,3.7,3.58,80
tt15789038,Elemental,2023,Comedy/Romance/Animation/Fantasy/Family,3.3,8582630.0,3.3,3.58,80
tt15791034,Barbarian,2022,Thriller/Horror,3.4,12718200.0,3.4,3.58,80
tt1588170,악마를 보았다,2010,Thriller/Horror,4.0,2555310.0,4.0,3.58,80
tt1588173,Warm Bodies,2013,Horror/Romance/Comedy,2.9,2805840.0,2.9,3.58,80
